"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"74","1","file:/data/kalbeck_2__0031_b.tif","/data/kalbeck_2__0031_b.tif","kalbeck_2__0031_b.tif","Signature","Done","52981321","File","tif","2026-05-20T06:53:48","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"75","1","file:/data/kalbeck_2__0031_a.tif","/data/kalbeck_2__0031_a.tif","kalbeck_2__0031_a.tif","Signature","Done","57520827","File","tif","2026-05-20T06:53:48","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"76","1","file:/data/kalbeck_2__0033_a.tif","/data/kalbeck_2__0033_a.tif","kalbeck_2__0033_a.tif","Signature","Done","54442063","File","tif","2026-05-20T06:53:52","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"77","1","file:/data/kalbeck_2__0036_b.tif","/data/kalbeck_2__0036_b.tif","kalbeck_2__0036_b.tif","Signature","Done","56109681","File","tif","2026-05-20T06:53:58","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"78","1","file:/data/kalbeck_2__0032_a.tif","/data/kalbeck_2__0032_a.tif","kalbeck_2__0032_a.tif","Signature","Done","54849319","File","tif","2026-05-20T06:53:50","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"79","1","file:/data/kalbeck_2__0038_a.tif","/data/kalbeck_2__0038_a.tif","kalbeck_2__0038_a.tif","Signature","Done","55248233","File","tif","2026-05-20T06:54:02","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"80","1","file:/data/kalbeck_2__0034_a.tif","/data/kalbeck_2__0034_a.tif","kalbeck_2__0034_a.tif","Signature","Done","54382345","File","tif","2026-05-20T06:53:54","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"81","1","file:/data/kalbeck_2__0035_b.tif","/data/kalbeck_2__0035_b.tif","kalbeck_2__0035_b.tif","Signature","Done","53061745","File","tif","2026-05-20T06:53:56","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"82","1","file:/data/kalbeck_2__0041_b.tif","/data/kalbeck_2__0041_b.tif","kalbeck_2__0041_b.tif","Signature","Done","55703869","File","tif","2026-05-20T06:54:09","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"83","1","file:/data/kalbeck_2__0042_b.tif","/data/kalbeck_2__0042_b.tif","kalbeck_2__0042_b.tif","Signature","Done","55516207","File","tif","2026-05-20T06:54:11","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
